@RELATION  futbol_oyunu

@ATTRIBUTE hava_durumu {yagmurlu,bulutlu,gunesli}
@ATTRIBUTE sicaklik {sicak,ilik,soguk}
@ATTRIBUTE nem {yuksek,normal}
@ATTRIBUTE ruzgar {yok,var}
@ATTRIBUTE gun {pazartesi,sali,carsamba,persembe,cuma,cumartesi,pazar}
@ATTRIBUTE saat {sabah,aksam,oglen}
@ATTRIBUTE futbol_oyna {hayir,evet}
@DATA
yagmurlu,ilik,normal,var,persembe,sabah,evet
yagmurlu,soguk,normal,var,persembe,sabah,evet

yagmurlu,sicak,yuksek,yok,cuma,sabah,evet
yagmurlu,ilik,yuksek,yok,cuma,sabah,evet
yagmurlu,soguk,yuksek,yok,cuma,sabah,evet
yagmurlu,sicak,normal,yok,cuma,sabah,evet
yagmurlu,ilik,normal,yok,cuma,sabah,evet
yagmurlu,soguk,normal,yok,cuma,sabah,evet
yagmurlu,sicak,yuksek,var,cuma,sabah,hayir
yagmurlu,ilik,yuksek,var,cuma,sabah,hayir
yagmurlu,soguk,yuksek,var,cuma,sabah,hayir
yagmurlu,sicak,normal,var,cuma,sabah,evet
yagmurlu,ilik,normal,var,cuma,sabah,evet
yagmurlu,soguk,normal,var,cuma,sabah,evet

yagmurlu,sicak,yuksek,yok,cumartesi,sabah,hayir
yagmurlu,ilik,yuksek,yok,cumartesi,sabah,hayir
yagmurlu,soguk,yuksek,yok,cumartesi,sabah,hayir
yagmurlu,sicak,normal,yok,cumartesi,sabah,hayir
yagmurlu,ilik,normal,yok,cumartesi,sabah,hayir
yagmurlu,soguk,normal,yok,cumartesi,sabah,hayir
yagmurlu,sicak,yuksek,var,cumartesi,sabah,hayir
yagmurlu,ilik,yuksek,var,cumartesi,sabah,hayir
yagmurlu,soguk,yuksek,var,cumartesi,sabah,hayir
yagmurlu,sicak,normal,var,cumartesi,sabah,hayir
yagmurlu,ilik,normal,var,cumartesi,sabah,hayir
yagmurlu,soguk,normal,var,cumartesi,sabah,hayir

yagmurlu,sicak,yuksek,yok,pazar,sabah,hayir
yagmurlu,ilik,yuksek,yok,pazar,sabah,hayir
yagmurlu,soguk,yuksek,yok,pazar,sabah,hayir
yagmurlu,sicak,normal,yok,pazar,sabah,hayir
yagmurlu,ilik,normal,yok,pazar,sabah,hayir
yagmurlu,soguk,normal,yok,pazar,sabah,hayir
yagmurlu,sicak,yuksek,var,pazar,sabah,hayir
yagmurlu,ilik,yuksek,var,pazar,sabah,hayir
yagmurlu,soguk,yuksek,var,pazar,sabah,hayir
yagmurlu,sicak,normal,var,pazar,sabah,hayir
yagmurlu,ilik,normal,var,pazar,sabah,hayir
yagmurlu,soguk,normal,var,pazar,sabah,hayir


bulutlu,sicak,yuksek,yok,pazartesi,sabah,evet
bulutlu,ilik,yuksek,yok,pazartesi,sabah,evet
bulutlu,soguk,yuksek,yok,pazartesi,sabah,evet
bulutlu,sicak,normal,yok,pazartesi,sabah,evet
bulutlu,ilik,normal,yok,pazartesi,sabah,evet
bulutlu,soguk,normal,yok,pazartesi,sabah,evet
bulutlu,sicak,yuksek,var,pazartesi,sabah,hayir
bulutlu,ilik,yuksek,var,pazartesi,sabah,hayir
bulutlu,soguk,yuksek,var,pazartesi,sabah,hayir
bulutlu,sicak,normal,var,pazartesi,sabah,evet
bulutlu,ilik,normal,var,pazartesi,sabah,evet
bulutlu,soguk,normal,var,pazartesi,sabah,evet

bulutlu,sicak,yuksek,yok,sali,sabah,evet
bulutlu,ilik,yuksek,yok,sali,sabah,evet
bulutlu,soguk,yuksek,yok,sali,sabah,evet
bulutlu,sicak,normal,yok,sali,sabah,evet
bulutlu,ilik,normal,yok,sali,sabah,evet
bulutlu,soguk,normal,yok,sali,sabah,evet
bulutlu,sicak,yuksek,var,sali,sabah,hayir
bulutlu,ilik,yuksek,var,sali,sabah,hayir
bulutlu,soguk,yuksek,var,sali,sabah,hayir
bulutlu,sicak,normal,var,sali,sabah,evet
bulutlu,ilik,normal,var,sali,sabah,evet
bulutlu,soguk,normal,var,sali,sabah,evet

bulutlu,sicak,yuksek,yok,carsamba,sabah,evet
bulutlu,ilik,yuksek,yok,carsamba,sabah,evet
bulutlu,soguk,yuksek,yok,carsamba,sabah,evet
bulutlu,sicak,normal,yok,carsamba,sabah,evet
bulutlu,ilik,normal,yok,carsamba,sabah,evet
bulutlu,soguk,normal,yok,carsamba,sabah,evet
bulutlu,sicak,yuksek,var,carsamba,sabah,hayir
bulutlu,ilik,yuksek,var,carsamba,sabah,hayir
bulutlu,soguk,yuksek,var,carsamba,sabah,hayir
bulutlu,sicak,normal,var,carsamba,sabah,evet
bulutlu,ilik,normal,var,carsamba,sabah,evet
bulutlu,soguk,normal,var,carsamba,sabah,evet

bulutlu,sicak,yuksek,yok,persembe,sabah,evet
bulutlu,ilik,yuksek,yok,persembe,sabah,evet
bulutlu,soguk,yuksek,yok,persembe,sabah,evet
bulutlu,sicak,normal,yok,persembe,sabah,evet
bulutlu,ilik,normal,yok,persembe,sabah,evet
bulutlu,soguk,normal,yok,persembe,sabah,evet
bulutlu,sicak,yuksek,var,persembe,sabah,hayir
bulutlu,ilik,yuksek,var,persembe,sabah,hayir
bulutlu,soguk,yuksek,var,persembe,sabah,hayir
bulutlu,sicak,normal,var,persembe,sabah,evet
bulutlu,ilik,normal,var,persembe,sabah,evet
bulutlu,soguk,normal,var,persembe,sabah,evet

bulutlu,sicak,yuksek,yok,cuma,sabah,evet
bulutlu,ilik,yuksek,yok,cuma,sabah,evet
bulutlu,soguk,yuksek,yok,cuma,sabah,evet
bulutlu,sicak,normal,yok,cuma,sabah,evet
bulutlu,ilik,normal,yok,cuma,sabah,evet
bulutlu,soguk,normal,yok,cuma,sabah,evet
bulutlu,sicak,yuksek,var,cuma,sabah,hayir
bulutlu,ilik,yuksek,var,cuma,sabah,hayir
bulutlu,soguk,yuksek,var,cuma,sabah,hayir
bulutlu,sicak,normal,var,cuma,sabah,evet
bulutlu,ilik,normal,var,cuma,sabah,evet
bulutlu,soguk,normal,var,cuma,sabah,evet

bulutlu,sicak,yuksek,yok,cumartesi,sabah,hayir
bulutlu,ilik,yuksek,yok,cumartesi,sabah,hayir
bulutlu,soguk,yuksek,yok,cumartesi,sabah,hayir
bulutlu,sicak,normal,yok,cumartesi,sabah,hayir
bulutlu,ilik,normal,yok,cumartesi,sabah,hayir
bulutlu,soguk,normal,yok,cumartesi,sabah,hayir
bulutlu,sicak,yuksek,var,cumartesi,sabah,hayir
bulutlu,ilik,yuksek,var,cumartesi,sabah,hayir
bulutlu,soguk,yuksek,var,cumartesi,sabah,hayir
bulutlu,sicak,normal,var,cumartesi,sabah,hayir
bulutlu,ilik,normal,var,cumartesi,sabah,hayir
bulutlu,soguk,normal,var,cumartesi,sabah,hayir

bulutlu,sicak,yuksek,yok,pazar,sabah,hayir
bulutlu,ilik,yuksek,yok,pazar,sabah,hayir
bulutlu,soguk,yuksek,yok,pazar,sabah,hayir
bulutlu,sicak,normal,yok,pazar,sabah,hayir
bulutlu,ilik,normal,yok,pazar,sabah,hayir
bulutlu,soguk,normal,yok,pazar,sabah,hayir
bulutlu,sicak,yuksek,var,pazar,sabah,hayir
bulutlu,ilik,yuksek,var,pazar,sabah,hayir
bulutlu,soguk,yuksek,var,pazar,sabah,hayir
bulutlu,sicak,normal,var,pazar,sabah,hayir
bulutlu,ilik,normal,var,pazar,sabah,hayir
bulutlu,soguk,normal,var,pazar,sabah,hayir


gunesli,sicak,yuksek,yok,pazartesi,sabah,evet
gunesli,ilik,yuksek,yok,pazartesi,sabah,evet
gunesli,soguk,yuksek,yok,pazartesi,sabah,evet
gunesli,sicak,normal,yok,pazartesi,sabah,evet
gunesli,ilik,normal,yok,pazartesi,sabah,evet
gunesli,soguk,normal,yok,pazartesi,sabah,evet
gunesli,sicak,yuksek,var,pazartesi,sabah,hayir
gunesli,ilik,yuksek,var,pazartesi,sabah,hayir
gunesli,soguk,yuksek,var,pazartesi,sabah,hayir
gunesli,sicak,normal,var,pazartesi,sabah,evet
gunesli,ilik,normal,var,pazartesi,sabah,evet
gunesli,soguk,normal,var,pazartesi,sabah,evet

gunesli,sicak,yuksek,yok,sali,sabah,evet
gunesli,ilik,yuksek,yok,sali,sabah,evet
gunesli,soguk,yuksek,yok,sali,sabah,evet
gunesli,sicak,normal,yok,sali,sabah,evet
gunesli,ilik,normal,yok,sali,sabah,evet
gunesli,soguk,normal,yok,sali,sabah,evet
gunesli,sicak,yuksek,var,sali,sabah,hayir
gunesli,ilik,yuksek,var,sali,sabah,hayir
gunesli,soguk,yuksek,var,sali,sabah,hayir
gunesli,sicak,normal,var,sali,sabah,evet
gunesli,ilik,normal,var,sali,sabah,evet
gunesli,soguk,normal,var,sali,sabah,evet

gunesli,sicak,yuksek,yok,carsamba,sabah,evet
gunesli,ilik,yuksek,yok,carsamba,sabah,evet
gunesli,soguk,yuksek,yok,carsamba,sabah,evet
gunesli,sicak,normal,yok,carsamba,sabah,evet
gunesli,ilik,normal,yok,carsamba,sabah,evet
gunesli,soguk,normal,yok,carsamba,sabah,evet
gunesli,sicak,yuksek,var,carsamba,sabah,hayir
gunesli,ilik,yuksek,var,carsamba,sabah,hayir
gunesli,soguk,yuksek,var,carsamba,sabah,hayir
gunesli,sicak,normal,var,carsamba,sabah,evet
gunesli,ilik,normal,var,carsamba,sabah,evet
gunesli,soguk,normal,var,carsamba,sabah,evet

gunesli,sicak,yuksek,yok,persembe,sabah,evet
gunesli,ilik,yuksek,yok,persembe,sabah,evet
gunesli,soguk,yuksek,yok,persembe,sabah,evet
gunesli,sicak,normal,yok,persembe,sabah,evet
gunesli,ilik,normal,yok,persembe,sabah,evet
gunesli,soguk,normal,yok,persembe,sabah,evet
gunesli,sicak,yuksek,var,persembe,sabah,hayir
gunesli,ilik,yuksek,var,persembe,sabah,hayir
gunesli,soguk,yuksek,var,persembe,sabah,hayir
gunesli,sicak,normal,var,persembe,sabah,evet
gunesli,ilik,normal,var,persembe,sabah,evet
gunesli,soguk,normal,var,persembe,sabah,evet

gunesli,sicak,yuksek,yok,cuma,sabah,evet
gunesli,ilik,yuksek,yok,cuma,sabah,evet
gunesli,soguk,yuksek,yok,cuma,sabah,evet
gunesli,sicak,normal,yok,cuma,sabah,evet
gunesli,ilik,normal,yok,cuma,sabah,evet
gunesli,soguk,normal,yok,cuma,sabah,evet
gunesli,sicak,yuksek,var,cuma,sabah,hayir
gunesli,ilik,yuksek,var,cuma,sabah,hayir	
gunesli,soguk,yuksek,var,cuma,sabah,hayir
gunesli,sicak,normal,var,cuma,sabah,evet
gunesli,ilik,normal,var,cuma,sabah,evet
gunesli,soguk,normal,var,cuma,sabah,evet

gunesli,sicak,yuksek,yok,cumartesi,sabah,hayir
gunesli,ilik,yuksek,yok,cumartesi,sabah,hayir
gunesli,soguk,yuksek,yok,cumartesi,sabah,hayir
gunesli,sicak,normal,yok,cumartesi,sabah,hayir
gunesli,ilik,normal,yok,cumartesi,sabah,hayir
gunesli,soguk,normal,yok,cumartesi,sabah,hayir
gunesli,sicak,yuksek,var,cumartesi,sabah,hayir
gunesli,ilik,yuksek,var,cumartesi,sabah,hayir
gunesli,soguk,yuksek,var,cumartesi,sabah,hayir
gunesli,sicak,normal,var,cumartesi,sabah,hayir
gunesli,ilik,normal,var,cumartesi,sabah,hayir
gunesli,soguk,normal,var,cumartesi,sabah,hayir

gunesli,sicak,yuksek,yok,pazar,sabah,hayir
gunesli,ilik,yuksek,yok,pazar,sabah,hayir
gunesli,soguk,yuksek,yok,pazar,sabah,hayir
gunesli,sicak,normal,yok,pazar,sabah,hayir
gunesli,ilik,normal,yok,pazar,sabah,hayir
gunesli,soguk,normal,yok,pazar,sabah,hayir
gunesli,sicak,yuksek,var,pazar,sabah,hayir
gunesli,ilik,yuksek,var,pazar,sabah,hayir
gunesli,soguk,yuksek,var,pazar,sabah,hayir
gunesli,sicak,normal,var,pazar,sabah,hayir
gunesli,ilik,normal,var,pazar,sabah,hayir
gunesli,soguk,normal,var,pazar,sabah,hayir





yagmurlu,sicak,yuksek,yok,pazartesi,oglen,evet
yagmurlu,ilik,yuksek,yok,pazartesi,oglen,evet
yagmurlu,soguk,yuksek,yok,pazartesi,oglen,evet
yagmurlu,sicak,normal,yok,pazartesi,oglen,evet
yagmurlu,ilik,normal,yok,pazartesi,oglen,evet
yagmurlu,soguk,normal,yok,pazartesi,oglen,evet
yagmurlu,sicak,yuksek,var,pazartesi,oglen,hayir
yagmurlu,ilik,yuksek,var,pazartesi,oglen,hayir
yagmurlu,soguk,yuksek,var,pazartesi,oglen,hayir
yagmurlu,sicak,normal,var,pazartesi,oglen,evet
yagmurlu,ilik,normal,var,pazartesi,oglen,evet
yagmurlu,soguk,normal,var,pazartesi,oglen,evet

yagmurlu,sicak,yuksek,yok,sali,oglen,evet
yagmurlu,ilik,yuksek,yok,sali,oglen,evet
yagmurlu,soguk,yuksek,yok,sali,oglen,evet
yagmurlu,sicak,normal,yok,sali,oglen,evet
yagmurlu,ilik,normal,yok,sali,oglen,evet
yagmurlu,soguk,normal,yok,sali,oglen,evet
yagmurlu,sicak,yuksek,var,sali,oglen,hayir
yagmurlu,ilik,yuksek,var,sali,oglen,hayir
yagmurlu,soguk,yuksek,var,sali,oglen,hayir
yagmurlu,sicak,normal,var,sali,oglen,evet
yagmurlu,ilik,normal,var,sali,oglen,evet
yagmurlu,soguk,normal,var,sali,oglen,evet

yagmurlu,sicak,yuksek,yok,carsamba,oglen,evet
yagmurlu,ilik,yuksek,yok,carsamba,oglen,evet
yagmurlu,soguk,yuksek,yok,carsamba,oglen,evet
yagmurlu,sicak,normal,yok,carsamba,oglen,evet
yagmurlu,ilik,normal,yok,carsamba,oglen,evet
yagmurlu,soguk,normal,yok,carsamba,oglen,evet
yagmurlu,sicak,yuksek,var,carsamba,oglen,hayir
yagmurlu,ilik,yuksek,var,carsamba,oglen,hayir
yagmurlu,soguk,yuksek,var,carsamba,oglen,hayir
yagmurlu,sicak,normal,var,carsamba,oglen,evet
yagmurlu,ilik,normal,var,carsamba,oglen,evet
yagmurlu,soguk,normal,var,carsamba,oglen,evet

yagmurlu,sicak,yuksek,yok,persembe,oglen,evet
yagmurlu,ilik,yuksek,yok,persembe,oglen,evet
yagmurlu,soguk,yuksek,yok,persembe,oglen,evet
yagmurlu,sicak,normal,yok,persembe,oglen,evet
yagmurlu,ilik,normal,yok,persembe,oglen,evet
yagmurlu,soguk,normal,yok,persembe,oglen,evet
yagmurlu,sicak,yuksek,var,persembe,oglen,hayir
yagmurlu,ilik,yuksek,var,persembe,oglen,hayir
yagmurlu,soguk,yuksek,var,persembe,oglen,hayir
yagmurlu,sicak,normal,var,persembe,oglen,evet
yagmurlu,ilik,normal,var,persembe,oglen,evet
yagmurlu,soguk,normal,var,persembe,oglen,evet

yagmurlu,sicak,yuksek,yok,cuma,oglen,evet
yagmurlu,ilik,yuksek,yok,cuma,oglen,evet
yagmurlu,soguk,yuksek,yok,cuma,oglen,evet
yagmurlu,sicak,normal,yok,cuma,oglen,evet
yagmurlu,ilik,normal,yok,cuma,oglen,evet
yagmurlu,soguk,normal,yok,cuma,oglen,evet
yagmurlu,sicak,yuksek,var,cuma,oglen,hayir
yagmurlu,ilik,yuksek,var,cuma,oglen,hayir
yagmurlu,soguk,yuksek,var,cuma,oglen,hayir
yagmurlu,sicak,normal,var,cuma,oglen,evet
yagmurlu,ilik,normal,var,cuma,oglen,evet
yagmurlu,soguk,normal,var,cuma,oglen,evet

yagmurlu,sicak,yuksek,yok,cumartesi,oglen,evet
yagmurlu,ilik,yuksek,yok,cumartesi,oglen,evet
yagmurlu,soguk,yuksek,yok,cumartesi,oglen,evet
yagmurlu,sicak,normal,yok,cumartesi,oglen,evet
yagmurlu,ilik,normal,yok,cumartesi,oglen,evet
yagmurlu,soguk,normal,yok,cumartesi,oglen,evet
yagmurlu,sicak,yuksek,var,cumartesi,oglen,hayir
yagmurlu,ilik,yuksek,var,cumartesi,oglen,hayir
yagmurlu,soguk,yuksek,var,cumartesi,oglen,hayir
yagmurlu,sicak,normal,var,cumartesi,oglen,evet
yagmurlu,ilik,normal,var,cumartesi,oglen,evet
yagmurlu,soguk,normal,var,cumartesi,oglen,evet

yagmurlu,sicak,yuksek,yok,pazar,oglen,evet
yagmurlu,ilik,yuksek,yok,pazar,oglen,evet
yagmurlu,soguk,yuksek,yok,pazar,oglen,evet
yagmurlu,sicak,normal,yok,pazar,oglen,evet
yagmurlu,ilik,normal,yok,pazar,oglen,evet
yagmurlu,soguk,normal,yok,pazar,oglen,evet
yagmurlu,sicak,yuksek,var,pazar,oglen,hayir
yagmurlu,ilik,yuksek,var,pazar,oglen,hayir
yagmurlu,soguk,yuksek,var,pazar,oglen,hayir
yagmurlu,sicak,normal,var,pazar,oglen,evet
yagmurlu,ilik,normal,var,pazar,oglen,evet
yagmurlu,soguk,normal,var,pazar,oglen,evet


bulutlu,sicak,yuksek,yok,pazartesi,oglen,evet
bulutlu,ilik,yuksek,yok,pazartesi,oglen,evet
bulutlu,soguk,yuksek,yok,pazartesi,oglen,evet
bulutlu,sicak,normal,yok,pazartesi,oglen,evet
bulutlu,ilik,normal,yok,pazartesi,oglen,evet
bulutlu,soguk,normal,yok,pazartesi,oglen,evet
bulutlu,sicak,yuksek,var,pazartesi,oglen,hayir
bulutlu,ilik,yuksek,var,pazartesi,oglen,hayir
bulutlu,soguk,yuksek,var,pazartesi,oglen,hayir
bulutlu,sicak,normal,var,pazartesi,oglen,evet
bulutlu,ilik,normal,var,pazartesi,oglen,evet
bulutlu,soguk,normal,var,pazartesi,oglen,evet

bulutlu,sicak,yuksek,yok,sali,oglen,evet
bulutlu,ilik,yuksek,yok,sali,oglen,evet
bulutlu,soguk,yuksek,yok,sali,oglen,evet
bulutlu,sicak,normal,yok,sali,oglen,evet
bulutlu,ilik,normal,yok,sali,oglen,evet
bulutlu,soguk,normal,yok,sali,oglen,evet
bulutlu,sicak,yuksek,var,sali,oglen,hayir
bulutlu,ilik,yuksek,var,sali,oglen,hayir
bulutlu,soguk,yuksek,var,sali,oglen,hayir
bulutlu,sicak,normal,var,sali,oglen,evet
bulutlu,ilik,normal,var,sali,oglen,evet
bulutlu,soguk,normal,var,sali,oglen,evet

bulutlu,sicak,yuksek,yok,carsamba,oglen,evet
bulutlu,ilik,yuksek,yok,carsamba,oglen,evet
bulutlu,soguk,yuksek,yok,carsamba,oglen,evet
bulutlu,sicak,normal,yok,carsamba,oglen,evet
bulutlu,ilik,normal,yok,carsamba,oglen,evet
bulutlu,soguk,normal,yok,carsamba,oglen,evet
bulutlu,sicak,yuksek,var,carsamba,oglen,hayir
bulutlu,ilik,yuksek,var,carsamba,oglen,hayir
bulutlu,soguk,yuksek,var,carsamba,oglen,hayir
bulutlu,sicak,normal,var,carsamba,oglen,evet
bulutlu,ilik,normal,var,carsamba,oglen,evet
bulutlu,soguk,normal,var,carsamba,oglen,evet

bulutlu,sicak,yuksek,yok,persembe,oglen,evet
bulutlu,ilik,yuksek,yok,persembe,oglen,evet
bulutlu,soguk,yuksek,yok,persembe,oglen,evet
bulutlu,sicak,normal,yok,persembe,oglen,evet
bulutlu,ilik,normal,yok,persembe,oglen,evet
bulutlu,soguk,normal,yok,persembe,oglen,evet
bulutlu,sicak,yuksek,var,persembe,oglen,hayir
bulutlu,ilik,yuksek,var,persembe,oglen,hayir
bulutlu,soguk,yuksek,var,persembe,oglen,hayir
bulutlu,sicak,normal,var,persembe,oglen,evet
bulutlu,ilik,normal,var,persembe,oglen,evet
bulutlu,soguk,normal,var,persembe,oglen,evet

bulutlu,sicak,yuksek,yok,cuma,oglen,evet
bulutlu,ilik,yuksek,yok,cuma,oglen,evet
bulutlu,soguk,yuksek,yok,cuma,oglen,evet
bulutlu,sicak,normal,yok,cuma,oglen,evet
bulutlu,ilik,normal,yok,cuma,oglen,evet
bulutlu,soguk,normal,yok,cuma,oglen,evet
bulutlu,sicak,yuksek,var,cuma,oglen,hayir
bulutlu,ilik,yuksek,var,cuma,oglen,hayir
bulutlu,soguk,yuksek,var,cuma,oglen,hayir
bulutlu,sicak,normal,var,cuma,oglen,evet
bulutlu,ilik,normal,var,cuma,oglen,evet
bulutlu,soguk,normal,var,cuma,oglen,evet

bulutlu,sicak,yuksek,yok,cumartesi,oglen,hayir
bulutlu,ilik,yuksek,yok,cumartesi,oglen,hayir
bulutlu,soguk,yuksek,yok,cumartesi,oglen,hayir
bulutlu,sicak,normal,yok,cumartesi,oglen,hayir
bulutlu,ilik,normal,yok,cumartesi,oglen,hayir
bulutlu,soguk,normal,yok,cumartesi,oglen,hayir
bulutlu,sicak,yuksek,var,cumartesi,oglen,hayir
bulutlu,ilik,yuksek,var,cumartesi,oglen,hayir
bulutlu,soguk,yuksek,var,cumartesi,oglen,hayir
bulutlu,sicak,normal,var,cumartesi,oglen,hayir
bulutlu,ilik,normal,var,cumartesi,oglen,hayir
bulutlu,soguk,normal,var,cumartesi,oglen,hayir

bulutlu,sicak,yuksek,yok,pazar,oglen,hayir
bulutlu,ilik,yuksek,yok,pazar,oglen,hayir
bulutlu,soguk,yuksek,yok,pazar,oglen,hayir
bulutlu,sicak,normal,yok,pazar,oglen,hayir
bulutlu,ilik,normal,yok,pazar,oglen,hayir
bulutlu,soguk,normal,yok,pazar,oglen,hayir
bulutlu,sicak,yuksek,var,pazar,oglen,hayir
bulutlu,ilik,yuksek,var,pazar,oglen,hayir
bulutlu,soguk,yuksek,var,pazar,oglen,hayir
bulutlu,sicak,normal,var,pazar,oglen,hayir
bulutlu,ilik,normal,var,pazar,oglen,hayir
bulutlu,soguk,normal,var,pazar,oglen,hayir


gunesli,sicak,yuksek,yok,pazartesi,oglen,evet
gunesli,ilik,yuksek,yok,pazartesi,oglen,evet
gunesli,soguk,yuksek,yok,pazartesi,oglen,evet
gunesli,sicak,normal,yok,pazartesi,oglen,evet
gunesli,ilik,normal,yok,pazartesi,oglen,evet
gunesli,soguk,normal,yok,pazartesi,oglen,evet
gunesli,sicak,yuksek,var,pazartesi,oglen,hayir
gunesli,ilik,yuksek,var,pazartesi,oglen,hayir
gunesli,soguk,yuksek,var,pazartesi,oglen,hayir
gunesli,sicak,normal,var,pazartesi,oglen,evet
gunesli,ilik,normal,var,pazartesi,oglen,evet
gunesli,soguk,normal,var,pazartesi,oglen,evet


gunesli,sicak,yuksek,yok,sali,oglen,evet
gunesli,ilik,yuksek,yok,sali,oglen,evet
gunesli,soguk,yuksek,yok,sali,oglen,evet
gunesli,sicak,normal,yok,sali,oglen,evet
gunesli,ilik,normal,yok,sali,oglen,evet
gunesli,soguk,normal,yok,sali,oglen,evet
gunesli,sicak,yuksek,var,sali,oglen,hayir
gunesli,ilik,yuksek,var,sali,oglen,hayir
gunesli,soguk,yuksek,var,sali,oglen,hayir
gunesli,sicak,normal,var,sali,oglen,evet
gunesli,ilik,normal,var,sali,oglen,evet
gunesli,soguk,normal,var,sali,oglen,evet

gunesli,sicak,yuksek,yok,carsamba,oglen,evet
gunesli,ilik,yuksek,yok,carsamba,oglen,evet
gunesli,soguk,yuksek,yok,carsamba,oglen,evet
gunesli,sicak,normal,yok,carsamba,oglen,evet
gunesli,ilik,normal,yok,carsamba,oglen,evet
gunesli,soguk,normal,yok,carsamba,oglen,evet
gunesli,sicak,yuksek,var,carsamba,oglen,hayir
gunesli,ilik,yuksek,var,carsamba,oglen,hayir
gunesli,soguk,yuksek,var,carsamba,oglen,hayir
gunesli,sicak,normal,var,carsamba,oglen,evet
gunesli,ilik,normal,var,carsamba,oglen,evet
gunesli,soguk,normal,var,carsamba,oglen,evet

gunesli,sicak,yuksek,yok,persembe,oglen,evet
gunesli,ilik,yuksek,yok,persembe,oglen,evet
gunesli,soguk,yuksek,yok,persembe,oglen,evet
gunesli,sicak,normal,yok,persembe,oglen,evet
gunesli,ilik,normal,yok,persembe,oglen,evet
gunesli,soguk,normal,yok,persembe,oglen,evet
gunesli,sicak,yuksek,var,persembe,oglen,hayir
gunesli,ilik,yuksek,var,persembe,oglen,hayir
gunesli,soguk,yuksek,var,persembe,oglen,hayir
gunesli,sicak,normal,var,persembe,oglen,evet
gunesli,ilik,normal,var,persembe,oglen,evet
gunesli,soguk,normal,var,persembe,oglen,evet

gunesli,sicak,yuksek,yok,cuma,oglen,evet
gunesli,ilik,yuksek,yok,cuma,oglen,evet
gunesli,soguk,yuksek,yok,cuma,oglen,evet
gunesli,sicak,normal,yok,cuma,oglen,evet
